dimension,subgroup,n,rmse,gap_score,mode,repeat,fold,model
year,2011,28,0.05326180940081084,14.02,B,0,1,catboost
year,2012,28,0.07302584358615385,8.09,B,0,1,catboost
year,2013,29,0.0661942406621154,10.14,B,0,1,catboost
year,2014,46,0.053948715421971334,13.82,B,0,1,catboost
year,2015,33,0.058505744490204806,12.45,B,0,1,catboost
year,2016,37,0.07942593746105667,6.17,B,0,1,catboost
year,2017,103,0.05864076557042521,12.41,B,0,1,catboost
year,2018,76,0.05037527360034476,14.89,B,0,1,catboost
year,2019,140,0.09211690486230666,2.36,B,0,1,catboost
year,2020,137,0.07487938439764726,7.54,B,0,1,catboost
year,2021,126,0.08574999087292466,4.28,B,0,1,catboost
year,2022,113,0.09409747879059675,1.77,B,0,1,catboost
year,2023,152,0.059096710984590566,12.27,B,0,1,catboost
year,2024,113,0.04807925926133748,15.58,B,0,1,catboost
confidence_bin,low,11,0.047561670372366624,15.73,B,0,1,catboost
confidence_bin,medium,370,0.06377100873054017,10.87,B,0,1,catboost
confidence_bin,high,819,0.07513614379826405,7.46,B,0,1,catboost
overall,all,1200,0.06661623530174596,10.02,B,0,2,catboost
seen_polygon,False,1200,0.06661623530174596,10.02,B,0,2,catboost
crop_type,зерновые,326,0.05474315169093486,13.58,B,0,2,catboost
crop_type,озимая пшеница,874,0.07053494874155113,8.84,B,0,2,catboost
source_label,landsat,543,0.061180701407037366,11.65,B,0,2,catboost
source_label,modis,167,0.05769497806131859,12.69,B,0,2,catboost
source_label,s2,490,0.07473601484805249,7.58,B,0,2,catboost
gap_length,1,868,0.06428115730783585,10.72,B,0,2,catboost
gap_length,2,260,0.07622663604081346,7.13,B,0,2,catboost
gap_length,3,63,0.05932716770256452,12.2,B,0,2,catboost
gap_length,4,4,0.014600566754552373,25.62,B,0,2,catboost
gap_length,5,5,0.03258350875325775,20.22,B,0,2,catboost
left_distance_bin,0-7,1002,0.06463342930933938,10.61,B,0,2,catboost
left_distance_bin,16-30,21,0.07142863212682436,8.57,B,0,2,catboost
left_distance_bin,31+,20,0.09008152594331978,2.98,B,0,2,catboost
left_distance_bin,8-15,153,0.0739502458268393,7.81,B,0,2,catboost
left_distance_bin,none,4,0.09123295931964626,2.63,B,0,2,catboost
right_distance_bin,0-7,994,0.06361669177583196,10.91,B,0,2,catboost
right_distance_bin,16-30,22,0.09284181303381565,2.15,B,0,2,catboost
right_distance_bin,31+,15,0.09673336770682323,0.98,B,0,2,catboost
right_distance_bin,8-15,167,0.07628880609253626,7.11,B,0,2,catboost
right_distance_bin,none,2,0.016401162402579838,25.08,B,0,2,catboost
year,2010,34,0.07340062144957649,7.98,B,0,2,catboost
year,2011,28,0.05993669918599234,12.02,B,0,2,catboost
year,2012,26,0.06225095962417334,11.32,B,0,2,catboost
year,2013,35,0.07204470548750518,8.39,B,0,2,catboost
year,2014,39,0.06870211785647772,9.39,B,0,2,catboost
year,2015,21,0.051529434498925344,14.54,B,0,2,catboost
year,2016,33,0.07729188357133235,6.81,B,0,2,catboost
year,2017,104,0.053382717884263874,13.99,B,0,2,catboost
year,2018,80,0.05559936239841744,13.32,B,0,2,catboost
year,2019,131,0.07399271442221503,7.8,B,0,2,catboost
year,2020,156,0.07425854216437273,7.72,B,0,2,catboost
year,2021,114,0.0793288282654199,6.2,B,0,2,catboost
year,2022,130,0.06310340076819855,11.07,B,0,2,catboost
year,2023,141,0.0703774172614658,8.89,B,0,2,catboost
year,2024,128,0.045717193282453134,16.28,B,0,2,catboost
confidence_bin,low,7,0.06267971269903397,11.2,B,0,2,catboost
confidence_bin,medium,401,0.0719270298381037,8.42,B,0,2,catboost
confidence_bin,high,792,0.06379411323902247,10.86,B,0,2,catboost
overall,all,1200,0.06747365249332152,9.76,B,0,3,catboost
seen_polygon,False,1200,0.06747365249332152,9.76,B,0,3,catboost
crop_type,зерновые,252,0.06286990608916998,11.14,B,0,3,catboost
crop_type,озимая пшеница,775,0.068692463528649,9.39,B,0,3,catboost
crop_type,пастбища/зерновые,121,0.07435785805561376,7.69,B,0,3,catboost
crop_type,подсолнечник,52,0.052108194279012955,14.37,B,0,3,catboost
source_label,landsat,419,0.05752105484596098,12.74,B,0,3,catboost
source_label,modis,213,0.06843901140724173,9.47,B,0,3,catboost
source_label,s2,568,0.0736286449550653,7.91,B,0,3,catboost
gap_length,1,862,0.06795953283401783,9.61,B,0,3,catboost
gap_length,2,274,0.0660216327100589,10.19,B,0,3,catboost
gap_length,3,42,0.055925473144071876,13.22,B,0,3,catboost
gap_length,4,12,0.08001325933838922,6.0,B,0,3,catboost
gap_length,5,10,0.08920398706105205,3.24,B,0,3,catboost
left_distance_bin,0-7,992,0.06639657307994695,10.08,B,0,3,catboost
left_distance_bin,16-30,34,0.08713346396473891,3.86,B,0,3,catboost
left_distance_bin,31+,12,0.07439841719994311,7.68,B,0,3,catboost
left_distance_bin,8-15,161,0.06864227412004359,9.41,B,0,3,catboost
left_distance_bin,none,1,0.0827305147929655,5.18,B,0,3,catboost
right_distance_bin,0-7,993,0.06774091137506041,9.68,B,0,3,catboost
right_distance_bin,16-30,32,0.07704024210734117,6.89,B,0,3,catboost
right_distance_bin,31+,25,0.044741591715901856,16.58,B,0,3,catboost
right_distance_bin,8-15,147,0.0664798834096108,10.06,B,0,3,catboost
right_distance_bin,none,3,0.07499812187378142,7.5,B,0,3,catboost
year,2010,32,0.08525531875945641,4.42,B,0,3,catboost
year,2011,33,0.060396603447095916,11.88,B,0,3,catboost
year,2012,23,0.048910060450286015,15.33,B,0,3,catboost
