dimension,subgroup,n,rmse,gap_score,mode,repeat,fold,model
source_label,modis,178,0.11990481840764576,0.0,A,0,0,akima
source_label,s2,510,0.09358444517699736,1.92,A,0,0,akima
gap_length,1,911,0.09386837748258428,1.84,A,0,0,akima
gap_length,2,214,0.0935885896380648,1.92,A,0,0,akima
gap_length,3,66,0.11295121500770884,0.0,A,0,0,akima
gap_length,4,4,0.027342297390321766,21.8,A,0,0,akima
gap_length,5,5,0.13390279285397377,0.0,A,0,0,akima
left_distance_bin,0-7,1018,0.08704206036252603,3.89,A,0,0,akima
left_distance_bin,16-30,21,0.11241887271344125,0.0,A,0,0,akima
left_distance_bin,31+,22,0.14197791238926083,0.0,A,0,0,akima
left_distance_bin,8-15,138,0.1321133122702341,0.0,A,0,0,akima
left_distance_bin,none,1,0.07694167243567429,6.92,A,0,0,akima
right_distance_bin,0-7,1003,0.09028947966799192,2.91,A,0,0,akima
right_distance_bin,16-30,34,0.09959473991171647,0.12,A,0,0,akima
right_distance_bin,31+,14,0.2050844523973329,0.0,A,0,0,akima
right_distance_bin,8-15,147,0.10832010719624825,0.0,A,0,0,akima
right_distance_bin,none,2,0.06559574642646933,10.32,A,0,0,akima
year,2010,28,0.0737464382046308,7.88,A,0,0,akima
year,2011,43,0.10308627366856674,0.0,A,0,0,akima
year,2012,11,0.13023333915944124,0.0,A,0,0,akima
year,2013,32,0.1046237988676183,0.0,A,0,0,akima
year,2014,39,0.0903526315820324,2.89,A,0,0,akima
year,2015,36,0.07829819828125888,6.51,A,0,0,akima
year,2016,36,0.10889992541736346,0.0,A,0,0,akima
year,2017,88,0.08966761474592659,3.1,A,0,0,akima
year,2018,67,0.07773832584822013,6.68,A,0,0,akima
year,2019,144,0.09357441114379586,1.93,A,0,0,akima
year,2020,155,0.08485905468337998,4.54,A,0,0,akima
year,2021,137,0.1129190667830876,0.0,A,0,0,akima
year,2022,125,0.06803821880871022,9.59,A,0,0,akima
year,2023,130,0.12415538120557432,0.0,A,0,0,akima
year,2024,129,0.0837655614472722,4.87,A,0,0,akima
confidence_bin,low,97,0.09570734700218317,1.29,A,0,0,akima
confidence_bin,medium,846,0.09661813879399116,1.01,A,0,0,akima
confidence_bin,high,257,0.08931536789159623,3.21,A,0,0,akima
overall,all,1200,0.11170962311108495,0.0,A,1,0,nearest_left
seen_polygon,False,1024,0.1139357721635998,0.0,A,1,0,nearest_left
seen_polygon,True,176,0.09775709262645117,0.67,A,1,0,nearest_left
crop_type,зерновые,221,0.08318955772365581,5.04,A,1,0,nearest_left
crop_type,озимая пшеница,814,0.1226373266114206,0.0,A,1,0,nearest_left
crop_type,пастбища/зерновые,127,0.08458740904689221,4.62,A,1,0,nearest_left
crop_type,подсолнечник,38,0.08799493726203994,3.6,A,1,0,nearest_left
